Date,Open,High,Low,Close,Volume
2016-11-11,95.88,98.16,95.88,97.93,5484913
2016-11-14,97.94,100.37,97.94,98.68,5423702
2016-11-15,97.61,98.91,95.95,98.73,4087735
2016-11-16,97.76,98.24,96.71,97.64,2589427
2016-11-17,97.95,99.24,97.53,99.16,2372445
2016-11-18,99.27,99.66,98.51,99.15,2269575
2016-11-21,99.74,100.64,99.08,100.57,2882350
2016-11-22,100.57,101.02,99.53,100.29,2383404
2016-11-23,100.53,101.96,99.99,100.64,1920708
2016-11-25,100.79,101.0,100.27,100.79,982056
2016-11-28,99.85,100.46,98.79,99.4,2355653
2016-11-29,99.94,100.32,99.26,99.77,3037816
2016-11-30,100.79,101.48,100.26,100.6,2345477
2016-12-01,101.37,103.5,101.11,102.47,2928387
2016-12-02,102.28,102.44,100.74,101.73,1954567
2016-12-05,102.88,103.56,101.83,102.71,2255790
2016-12-06,103.2,103.73,101.89,103.64,1763755
2016-12-07,103.48,105.57,103.1,105.47,2605370
2016-12-08,105.87,107.18,105.56,106.57,2569191
2016-12-09,106.25,106.38,105.25,106.02,2595373
2016-12-12,105.18,105.81,103.44,104.52,2597820
2016-12-13,104.99,105.57,103.86,104.83,1676567
2016-12-14,103.39,105.62,103.29,103.99,3910642
2016-12-15,104.66,107.85,104.47,107.08,3231464
2016-12-16,106.87,107.77,105.64,105.77,3844008
2016-12-19,105.74,106.76,105.12,105.91,1714864
2016-12-20,107.08,108.29,106.6,107.1,1922804
2016-12-21,106.98,107.42,105.7,106.47,1854923
2016-12-22,105.6,106.06,104.94,105.65,2536123
2016-12-23,105.69,106.27,105.44,106.2,1688861
2016-12-27,106.28,107.1,106.21,106.52,963677
2016-12-28,106.49,106.88,104.7,104.96,1071409
2016-12-29,105.32,105.67,103.53,103.92,1368958
2016-12-30,104.53,104.73,103.58,104.06,1466053
2017-01-03,105.23,106.1,103.57,104.86,2128273
2017-01-04,105.32,106.52,105.16,106.14,2071654
2017-01-05,105.52,106.16,103.45,104.55,1720377
2017-01-06,105.18,105.97,104.75,105.15,1983879
2017-01-09,104.47,105.5,103.93,104.74,1858410
2017-01-10,105.0,106.59,104.89,105.57,1491576
2017-01-11,105.72,107.09,105.31,106.49,1990710
2017-01-12,105.62,105.91,103.05,104.22,2302621
2017-01-13,105.13,106.46,104.54,105.23,1380332
2017-01-17,103.99,104.98,103.53,103.92,2760414
2017-01-18,104.74,105.65,103.64,105.59,2524963
2017-01-19,105.98,106.03,103.89,104.76,2078284
2017-01-20,105.27,106.05,104.89,105.59,1673141
2017-01-23,105.1,105.51,104.1,104.49,1292112
2017-01-24,105.07,106.44,105.04,105.69,1294909
2017-01-25,106.69,107.5,106.34,107.36,2176265
2017-01-26,107.33,108.06,106.85,107.34,2105178
2017-01-27,106.8,107.16,106.26,106.59,995369
2017-01-30,106.07,106.2,104.01,105.57,2425651
2017-01-31,105.46,106.28,104.16,105.11,1573609
2017-02-01,106.13,107.06,104.6,105.56,1579457
2017-02-02,104.43,105.63,103.41,104.43,1553505
2017-02-03,106.17,106.88,105.34,106.33,2060512
2017-02-06,105.42,106.65,105.35,106.11,1191361
2017-02-07,106.75,106.99,105.73,106.59,1599156
2017-02-08,105.89,105.9,104.45,105.22,2305752
2017-02-09,107.3,108.95,105.8,108.39,2421086
2017-02-10,108.59,109.15,108.08,108.75,2707760
2017-02-13,108.83,110.58,108.77,109.8,2189307
2017-02-14,109.29,110.99,109.29,110.45,2724738
2017-02-15,110.77,111.98,109.89,111.79,2652202
2017-02-16,111.4,112.28,111.18,112.11,2302048
2017-02-17,110.28,111.11,109.91,111.11,2518715
2017-02-21,111.97,112.39,111.04,111.22,1905654
2017-02-22,110.22,110.98,110.05,110.5,2184768
2017-02-23,110.73,110.99,110.12,110.86,1552419
2017-02-24,109.64,110.0,108.9,109.96,1388947
2017-02-27,110.06,111.06,110.06,110.95,1398918
2017-02-28,110.14,110.78,109.75,110.54,1721678
2017-03-01,112.72,114.55,112.61,113.82,2602295
2017-03-02,113.89,113.99,111.65,111.8,2024011
2017-03-03,112.11,113.12,111.8,112.56,1433976
2017-03-06,111.5,112.17,111.26,111.77,1770036
2017-03-07,111.56,111.75,110.93,111.24,1890258
2017-03-08,112.35,112.7,110.96,111.09,1748819
2017-03-09,111.46,111.72,110.54,110.99,1486851
2017-03-10,111.45,111.82,110.19,111.06,1872692
2017-03-13,111.19,111.86,110.94,111.61,1245016
2017-03-14,111.24,111.24,110.25,111.07,1285943
2017-03-15,111.34,112.03,110.88,111.39,2223034
2017-03-16,111.6,112.27,111.02,111.62,1878703
2017-03-17,111.5,111.62,109.85,109.92,2539562
2017-03-20,109.64,109.72,109.0,109.12,1797505
2017-03-21,109.98,110.0,105.55,105.84,2713149
2017-03-22,105.25,106.15,103.45,105.42,1693603
2017-03-23,105.45,107.03,104.98,105.5,1910126
2017-03-24,106.01,106.85,104.82,105.44,1725039
2017-03-27,102.64,104.79,102.01,104.5,2626428
2017-03-28,104.13,106.35,104.03,105.8,3699815
2017-03-29,105.48,105.97,104.7,105.16,2085364
2017-03-30,105.3,107.54,105.25,107.3,1995590
2017-03-31,106.72,107.5,106.61,106.68,1890067
